starting
Job is running on node c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
/home/users/ksf293/aemulator/code
Running in /home/users/ksf293/aemulator/code/..
Running in /home/users/ksf293/aemulator
Fname /home/users/ksf293/aemulator/chains/param_files/chain_params_wp_uchuu_all_Msatmocks_covglam4.h5
Condition number: 1565.9735714174465
Building emulators
_aemulus_Msatmocks_train
original number of training ID pairs: 4000
Deleted bad ID pairs with indices [1296, 1335]
N train: 3998
Emulator for wp built with train_tag _George_log_errstdev_Msatmocks
Dynesty sampling (static) - nongen
nlive: 972
sample_method: rwalk
walks: 25
bound: multi
seed: 667
vol_dec: 0.5 vol_check: 2.0
slices: 5
dlogz:  0.01
n_threads: 24

iter: 78 | bound: 0 | nc: 1 | ncall: 1053 | eff(%):  7.407 | loglstar:   -inf < -525.641 <    inf | logz: -532.629 +/-  0.117 | dlogz: 526.858 >  0.010                                               
iter: 79 | bound: 0 | nc: 1 | ncall: 1054 | eff(%):  7.495 | loglstar:   -inf < -523.051 <    inf | logz: -530.505 +/-  0.119 | dlogz: 525.444 >  0.010                                               
iter: 80 | bound: 0 | nc: 1 | ncall: 1055 | eff(%):  7.583 | loglstar:   -inf < -521.995 <    inf | logz: -529.077 +/-  0.116 | dlogz: 523.319 >  0.010                                               
iter: 81 | bound: 0 | nc: 1 | ncall: 1056 | eff(%):  7.670 | loglstar:   -inf < -521.712 <    inf | logz: -528.239 +/-  0.112 | dlogz: 521.889 >  0.010                                               
iter: 82 | bound: 0 | nc: 1 | ncall: 1057 | eff(%):  7.758 | loglstar:   -inf < -516.012 <    inf | logz: -523.655 +/-  0.125 | dlogz: 521.051 >  0.010                                               
iter: 83 | bound: 0 | nc: 1 | ncall: 1058 | eff(%):  7.845 | loglstar:   -inf < -515.718 <    inf | logz: -522.459 +/-  0.116 | dlogz: 516.465 >  0.010                                               
iter: 84 | bound: 0 | nc: 1 | ncall: 1059 | eff(%):  7.932 | loglstar:   -inf < -512.844 <    inf | logz: -520.322 +/-  0.120 | dlogz: 515.268 >  0.010                                               
iter: 85 | bound: 0 | nc: 1 | ncall: 1060 | eff(%):  8.019 | loglstar:   -inf < -512.083 <    inf | logz: -519.036 +/-  0.115 | dlogz: 513.131 >  0.010                                               
iter: 86 | bound: 0 | nc: 1 | ncall: 1061 | eff(%):  8.106 | loglstar:   -inf < -511.265 <    inf | logz: -518.077 +/-  0.112 | dlogz: 511.843 >  0.010                                               
iter: 87 | bound: 0 | nc: 1 | ncall: 1062 | eff(%):  8.192 | loglstar:   -inf < -510.844 <    inf | logz: -517.345 +/-  0.110 | dlogz: 510.883 >  0.010                                               
