starting
Job is running on node c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
/home/users/ksf293/aemulator/code
Running in /home/users/ksf293/aemulator/code/..
Running in /home/users/ksf293/aemulator
Fname /home/users/ksf293/aemulator/chains/param_files/chain_params_xi2_uchuu_all_Msatmocks_covglam4.h5
Condition number: 87325.44877121199
Building emulators
_aemulus_Msatmocks_train
original number of training ID pairs: 4000
Deleted bad ID pairs with indices [1296, 1335]
N train: 3998
Emulator for xi2 built with train_tag _George_xrsqmean_errstdev_Msatmocks
Dynesty sampling (static) - nongen
nlive: 972
sample_method: rwalk
walks: 25
bound: multi
seed: 757
vol_dec: 0.5 vol_check: 2.0
slices: 5
dlogz:  0.01
n_threads: 24

iter: 70 | bound: 0 | nc: 1 | ncall: 1043 | eff(%):  6.711 | loglstar:   -inf < -13.698 <    inf | logz: -19.344 +/-  0.097 | dlogz: 19.531 >  0.010                                                  
iter: 71 | bound: 0 | nc: 1 | ncall: 1044 | eff(%):  6.801 | loglstar:   -inf < -13.690 <    inf | logz: -19.103 +/-  0.097 | dlogz: 19.246 >  0.010                                                  
iter: 72 | bound: 0 | nc: 1 | ncall: 1045 | eff(%):  6.890 | loglstar:   -inf < -13.213 <    inf | logz: -18.857 +/-  0.097 | dlogz: 19.004 >  0.010                                                  
iter: 73 | bound: 0 | nc: 2 | ncall: 1047 | eff(%):  6.972 | loglstar:   -inf < -13.203 <    inf | logz: -18.617 +/-  0.097 | dlogz: 18.757 >  0.010                                                  
iter: 74 | bound: 0 | nc: 1 | ncall: 1048 | eff(%):  7.061 | loglstar:   -inf < -13.071 <    inf | logz: -18.410 +/-  0.097 | dlogz: 18.516 >  0.010                                                  
iter: 75 | bound: 0 | nc: 1 | ncall: 1049 | eff(%):  7.150 | loglstar:   -inf < -12.999 <    inf | logz: -18.223 +/-  0.096 | dlogz: 18.308 >  0.010                                                  
iter: 76 | bound: 0 | nc: 1 | ncall: 1050 | eff(%):  7.238 | loglstar:   -inf < -12.860 <    inf | logz: -18.050 +/-  0.096 | dlogz: 18.120 >  0.010                                                  
iter: 77 | bound: 0 | nc: 1 | ncall: 1051 | eff(%):  7.326 | loglstar:   -inf < -12.692 <    inf | logz: -17.879 +/-  0.095 | dlogz: 17.945 >  0.010                                                  
iter: 78 | bound: 0 | nc: 1 | ncall: 1052 | eff(%):  7.414 | loglstar:   -inf < -12.605 <    inf | logz: -17.715 +/-  0.095 | dlogz: 17.774 >  0.010                                                  
iter: 79 | bound: 0 | nc: 1 | ncall: 1053 | eff(%):  7.502 | loglstar:   -inf < -12.270 <    inf | logz: -17.543 +/-  0.095 | dlogz: 17.609 >  0.010                                                  
iter: 80 | bound: 0 | nc: 1 | ncall: 1054 | eff(%):  7.590 | loglstar:   -inf < -11.904 <    inf | logz: -17.339 +/-  0.095 | dlogz: 17.435 >  0.010                                                  
iter: 81 | bound: 0 | nc: 1 | ncall: 1055 | eff(%):  7.678 | loglstar:   -inf < -11.693 <    inf | logz: -17.122 +/-  0.095 | dlogz: 17.231 >  0.010                                                  
iter: 82 | bound: 0 | nc: 1 | ncall: 1056 | eff(%):  7.765 | loglstar:   -inf < -11.611 <    inf | logz: -16.919 +/-  0.095 | dlogz: 17.013 >  0.010                                                  
iter: 83 | bound: 0 | nc: 1 | ncall: 1057 | eff(%):  7.852 | loglstar:   -inf < -11.602 <    inf | logz: -16.744 +/-  0.095 | dlogz: 16.809 >  0.010                                                  
iter: 84 | bound: 0 | nc: 2 | ncall: 1059 | eff(%):  7.932 | loglstar:   -inf < -11.524 <    inf | logz: -16.589 +/-  0.094 | dlogz: 16.633 >  0.010                                                  
iter: 85 | bound: 0 | nc: 1 | ncall: 1060 | eff(%):  8.019 | loglstar:   -inf < -11.293 <    inf | logz: -16.433 +/-  0.094 | dlogz: 16.476 >  0.010                                                  
iter: 86 | bound: 0 | nc: 1 | ncall: 1061 | eff(%):  8.106 | loglstar:   -inf < -11.265 <    inf | logz: -16.282 +/-  0.094 | dlogz: 16.319 >  0.010                                                  
iter: 87 | bound: 0 | nc: 1 | ncall: 1062 | eff(%):  8.192 | loglstar:   -inf < -10.982 <    inf | logz: -16.129 +/-  0.093 | dlogz: 16.167 >  0.010                                                  
iter: 88 | bound: 0 | nc: 2 | ncall: 1064 | eff(%):  8.271 | loglstar:   -inf < -10.929 <    inf | logz: -15.975 +/-  0.093 | dlogz: 16.013 >  0.010                                                  
iter: 89 | bound: 0 | nc: 1 | ncall: 1065 | eff(%):  8.357 | loglstar:   -inf < -10.720 <    inf | logz: -15.825 +/-  0.093 | dlogz: 15.859 >  0.010                                                  
iter: 90 | bound: 0 | nc: 1 | ncall: 1066 | eff(%):  8.443 | loglstar:   -inf < -10.655 <    inf | logz: -15.676 +/-  0.093 | dlogz: 15.707 >  0.010                                                  
iter: 91 | bound: 0 | nc: 1 | ncall: 1067 | eff(%):  8.529 | loglstar:   -inf < -10.537 <    inf | logz: -15.536 +/-  0.092 | dlogz: 15.558 >  0.010                                                  
iter: 92 | bound: 0 | nc: 1 | ncall: 1068 | eff(%):  8.614 | loglstar:   -inf < -10.445 <    inf | logz: -15.400 +/-  0.092 | dlogz: 15.416 >  0.010                                                  
iter: 93 | bound: 0 | nc: 1 | ncall: 1069 | eff(%):  8.700 | loglstar:   -inf < -10.408 <    inf | logz: -15.273 +/-  0.092 | dlogz: 15.279 >  0.010                                                  
iter: 94 | bound: 0 | nc: 1 | ncall: 1070 | eff(%):  8.785 | loglstar:   -inf < -10.347 <    inf | logz: -15.156 +/-  0.092 | dlogz: 15.152 >  0.010                                                  
iter: 95 | bound: 0 | nc: 1 | ncall: 1071 | eff(%):  8.870 | loglstar:   -inf < -10.298 <    inf | logz: -15.045 +/-  0.091 | dlogz: 15.033 >  0.010                                                  
iter: 96 | bound: 0 | nc: 1 | ncall: 1072 | eff(%):  8.955 | loglstar:   -inf < -10.285 <    inf | logz: -14.942 +/-  0.091 | dlogz: 14.921 >  0.010                                                  
iter: 97 | bound: 0 | nc: 1 | ncall: 1073 | eff(%):  9.040 | loglstar:   -inf < -9.983 <    inf | logz: -14.833 +/-  0.091 | dlogz: 14.817 >  0.010                                                   
iter: 98 | bound: 0 | nc: 1 | ncall: 1074 | eff(%):  9.125 | loglstar:   -inf < -9.981 <    inf | logz: -14.720 +/-  0.090 | dlogz: 14.707 >  0.010                                                   
iter: 99 | bound: 0 | nc: 1 | ncall: 1075 | eff(%):  9.209 | loglstar:   -inf < -9.940 <    inf | logz: -14.617 +/-  0.090 | dlogz: 14.594 >  0.010                                                   
